person_name,title,job
"Stan Lee","The Amazing Spider-Man",Characters
"Steve Ditko","The Amazing Spider-Man",Characters
"Marlon Wayans","Scary Movie 5",Characters
"Shawn Wayans","Scary Movie 5",Characters
"Buddy Johnson","Scary Movie 5",Characters
"Phil Beauman","Scary Movie 5",Characters
"Jason Friedberg","Scary Movie 5",Characters
"Aaron Seltzer","Scary Movie 5",Characters
"Stan Lee","Iron Man 2",Characters
"Jack Kirby","Iron Man 2",Characters
"Larry Lieber","Iron Man 2",Characters
"Don Heck","Iron Man 2",Characters
"John Albano","Jonah Hex",Characters
"Tony Dezuniga","Jonah Hex",Characters
"Jack Kirby","The Avengers",Characters
"Jason Segel","Get Him to the Greek",Characters
"Jim Thomas",Predators,Characters
"Ian Fleming",Skyfall,Characters
"Candace Bushnell","Sex and the City 2",Characters
"Darryl Quarles","Big Mommas: Like Father, Like Son",Characters
"Glen Keane",Tangled,Characters
"Bill Schwab",Tangled,Characters
"Shiyoon Kim",Tangled,Characters
"Jin Kim",Tangled,Characters
"Fran Striker","The Green Hornet",Characters
"George W. Trendle","The Green Hornet",Characters
"Duane Adler","Step Up 3D",Characters
"Kevin Williamson","Scream 4",Characters
Peyo,"The Smurfs",Characters
"Dan Aykroyd",Ghostbusters,Characters
"Harold Ramis",Ghostbusters,Characters
"Tiziano Sclavi","Dylan Dog: Dead of Night",Characters
"Roland Emmerich","Independence Day: Resurgence",Characters
"Dean Devlin","Independence Day: Resurgence",Characters
"Sajan Skaria","Cars 2",Characters
"Robert Moyer","Cars 2",Characters
"Bram Stoker","Dracula Untold",Characters
"Bob Kane","The Dark Knight Rises",Characters
"John Wagner",Dredd,Characters
"Carlos Ezquerra",Dredd,Characters
"Jerry Siegel","Man of Steel",Characters
"Joe Shuster","Man of Steel",Characters
"Len Wiseman","Underworld: Awakening",Characters
"Kevin Grevioux","Underworld: Awakening",Characters
"Danny McBride","Underworld: Awakening",Characters
"Gene Roddenberry","Star Trek Into Darkness",Characters
"Jane Austen","Pride and Prejudice and Zombies",Characters
"Arthur Conan Doyle","Sherlock Holmes: A Game of Shadows",Characters
"Tim Burton",Frankenweenie,Characters
"Stan Lee","Iron Man 3",Characters
"Jack Kirby","Iron Man 3",Characters
"Steve Gerber","The Wolverine",Characters
"Len Wein","The Wolverine",Characters
"John Romita, Sr.","The Wolverine",Characters
"Tobe Hooper","Texas Chainsaw 3D",Characters
"Kim Henkel","Texas Chainsaw 3D",Characters
"Ted Key","Mr. Peabody & Sherman",Characters
"Gale Anne Hurd","Terminator Genisys",Characters
"James Cameron","Terminator Genisys",Characters
"Leigh Whannell","Insidious: Chapter 2",Characters
"Edward Neumeier",RoboCop,Characters
"Michael Miner",RoboCop,Characters
"Kevin Eastman","Teenage Mutant Ninja Turtles",Characters
"Peter Laird","Teenage Mutant Ninja Turtles",Characters
"Stan Lee","Avengers: Age of Ultron",Characters
"Jack Kirby","Avengers: Age of Ultron",Characters
"Mary Shelley","I, Frankenstein",Characters
"Ed Brubaker","Captain America: The Winter Soldier",Characters
"Stan Lee","The Amazing Spider-Man 2",Characters
"Steve Ditko","The Amazing Spider-Man 2",Characters
"Adam Sandler","Grown Ups 2",Characters
"Fred Wolf","Grown Ups 2",Characters
"Judi Barrett","Cloudy with a Chance of Meatballs 2",Characters
"Ron Barrett","Cloudy with a Chance of Meatballs 2",Characters
"Michael Bond",Paddington,Characters
"Dan Abnett","Guardians of the Galaxy",Characters
"Andy Lanning","Guardians of the Galaxy",Characters
"Richard Linklater","Before Midnight",Characters
"Kim Krizan","Before Midnight",Characters
"Michael Crichton","Jurassic World",Characters
"Tom Clancy","Jack Ryan: Shadow Recruit",Characters
"Dave Callaham","The Expendables 3",Characters
"Genndy Tartakovsky","Hotel Transylvania 2",Characters
"Stan Lee","Fantastic Four",Characters
"Jack Kirby","Fantastic Four",Characters
"Gary Scott Thompson","Furious 7",Characters
"Duncan Rouleau","Big Hero 6",Characters
"Steven T. Seagle","Big Hero 6",Characters
"Bruce Geller","Mission: Impossible - Rogue Nation",Characters
"Milan Trenc","Night at the Museum: Secret of the Tomb",Characters
"Gene Roddenberry","Star Trek Beyond",Characters
"Ian Fleming",Spectre,Characters
"Bob Kane","Batman v Superman: Dawn of Justice",Characters
"Jerry Siegel","Batman v Superman: Dawn of Justice",Characters
"Joe Shuster","Batman v Superman: Dawn of Justice",Characters
"Bill Finger","Batman v Superman: Dawn of Justice",Characters
"Ken Daurio",Minions,Characters
"Cinco Paul",Minions,Characters
"Seth MacFarlane","Ted 2",Characters
"Michael Markowitz","Horrible Bosses 2",Characters
"Karen Janszen","Dolphin Tale 2",Characters
"Noam Dromi","Dolphin Tale 2",Characters
"Charles M. Schulz","The Peanuts Movie",Characters
"Takao Noguchi",Home,Characters
"James DeMonaco","The Purge: Anarchy",Characters
"Josh Heald","Hot Tub Time Machine 2",Characters
"Stan Lee","X-Men: Apocalypse",Characters
"Jack Kirby","X-Men: Apocalypse",Characters
"Mickey Rapkin","Pitch Perfect 2",Characters
"Kevin James","Paul Blart: Mall Cop 2",Characters
"Nick Bakay","Paul Blart: Mall Cop 2",Characters
"Ross Bagdasarian, Jr.","Alvin and the Chipmunks: The Road Chip",Characters
"Janice Karman","Alvin and the Chipmunks: The Road Chip",Characters
"J.M. Barrie",Pan,Characters
"Jack Kirby","Captain America: Civil War",Characters
"Joe Simon","Captain America: Civil War",Characters
"Leigh Whannell","Insidious: Chapter 3",Characters
"Scott Derrickson","Sinister 2",Characters
"C. Robert Cargill","Sinister 2",Characters
"Luc Besson","The Transporter Refueled",Characters
"Robert Mark Kamen","The Transporter Refueled",Characters
"Evan Daugherty","The Huntsman: Winter's War",Characters
"Rob Liefeld",Deadpool,Characters
"Fabian Nicieza",Deadpool,Characters
"John Hughes",Vacation,Characters
"Jean-Claude Van Damme","Kickboxer: Vengeance",Characters
"Mark DiSalle","Kickboxer: Vengeance",Characters
"Sylvester Stallone",Creed,Characters
"Greg Coolidge","Ride Along 2",Characters
"Robert Ludlum","Jason Bourne",Characters
"Brendan O'Brien","Neighbors 2: Sorority Rising",Characters
"Andrew J. Cohen","Neighbors 2: Sorority Rising",Characters
"Charles Perrault","Puss in Boots",Characters
